cMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, central, 1, 0.0, 2.4, 20.0, 10000, -15, 1.1, "1.0"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -1.1, -0.93375, "1.56041"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.93375, -0.78625, "-2.05111+-3.85472*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.78625, -0.64, "1.60727+0.798234*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.64, -0.49, "1.38099+0.444664*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.49, -0.34, "3.45438+4.67609*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.34, -0.19, "0.375562+-4.37927*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.19, -0.04, "0.920691+-1.51017*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.04, 0.11, "1.04315+1.55128*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.11, 0.254, "1.40154+-1.7068*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.254, 0.392, "0.446732+2.05228*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.392, 0.53, "3.04236+-4.56921*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.53, 0.668, "-0.0244445+1.2172*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.668, 0.806, "0.536848+0.376945*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.806, 0.8885, "0.243386+0.741042*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.8885, 0.9155, "1.10918+-0.233406*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9155, 0.9425, "0.865439+0.0328359*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9425, 0.9695, "2.00813+-1.17957*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9695, 0.9965, "7.86425+-7.21992*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9965, 1.1, "0.674868"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -1.1, -0.93375, "1.27349"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.93375, -0.78625, "-3.40358+-5.02154*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.78625, -0.64, "5.82929+6.72137*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.64, -0.49, "0.697565+-1.29695*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.49, -0.34, "2.98496+3.37121*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.34, -0.19, "0.673749+-3.42647*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.19, -0.04, "0.826084+-2.62471*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.04, 0.11, "1.00581+1.86847*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.11, 0.254, "1.45791+-2.24156*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.254, 0.392, "0.175864+2.80589*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.392, 0.53, "2.20112+-2.36057*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.53, 0.668, "1.19875+-0.469317*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.668, 0.806, "0.860427+0.0371563*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.806, 0.8885, "0.473729+0.516931*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.8885, 0.9155, "1.91015+-1.09975*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.9155, 0.9425, "-1.50626+2.632*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.9425, 0.9695, "4.06963+-3.28407*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.9695, 0.9965, "5.34677+-4.60139*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.9965, 1.1, "0.754498"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, -1.1, -0.93375, "1.69871"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, -0.93375, -0.78625, "1.47048+-0.205284*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, -0.78625, -0.64, "-0.791326+-3.08198*x"
